Borough,Noms du reseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,ACC_autodoor,ACC_entranceramp,ACC_streetlevel,ACC_stairs,ACC_elevator,WR_streetlvl,WR_rails,WR_gender_neutral,WR_size,WR_change_table,WR_family,INC_bilingual/en/fr,INC_helpfulstaff,INC_braille,INC_family_friendly,OVER_ccessible,OVER_comments,Telephone general,Site Internet,Latitude,Longitude,Description
Mercier-Hochelaga-Maisonneuve,Bibliotheque,Bibliotheque d'Hochelaga,"1870, rue Davidson",H1W 2Y6,Montreal,QC,1,1,1,2,1,1,1,0,m,1,1,b,1,0,1,y,"overall very inclusive and accommodating, future improvements planned",514 872-3666,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=20",-73.5455,45.54279,"Inauguree en 1962, la bibliotheque d'Hochelaga est l'une des deux bibliotheques specialisees pour enfants a Montreal. Elle possede une collection importante de livres pour la jeunesse et 1 000 livres pour les adultes."
Verdun,Bibliotheque,Bibliotheque de l'le des Sours,"260, rue Elgar",H3E 1C9,Montreal,QC,1,1,1,0,1,1,1,0,l,1,1,b,1,0,1,y,very well designed for strollers but lack of clear signage,514 765-7266,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=21",-73.5467,45.45714,"Le 3 novembre 1990, pour mieux desservir la population de l'a©le des Soeurs, Verdun inaugure la bibliotheque du centre communautaire Elgar. Situee a proximite du lac des Battures et d'un parc boise, la bibliotheque a ete agrandie en 2002-2003 par la celebre firme d'architectes Dan Hanganu."
L'le-Bizard-Sainte-Genevieve,Bibliotheque,Bibliotheque de L'a?le-Bizard,"500, montee de l'Eglise",H9C 1G9,Montreal,QC,1,1,1,7,1,1,1,0,l,1,1,b,1,1,1,s,"overall very inclusive and accommodating, future improvements planned",514 620-6257,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=27",-73.8825,45.48948,"En plus des services habituels (prets de livres, de disques, de films, consultation de documents, etc.) la bibliotheque de L'le-Bizard offre egalement une foule d'activites en tous genres.¶ Elle abrite une oeuvre intitulee 'Et pourtant, elle tourne', une creation de Michele Lapointe et de Rene Rioux. Les artistes expliquent ainsi leur demarche: ¶® La grande fenetre de la bibliotheque orientee plein midi donne envie de la franchir pour aller vers le soleil... ou alors... d'utiliser la lumiere solaire pour marquer le midi. Ainsi naquit l'idee du cadran solaire. Passant au travers du toit et dans la structure de l'edifice, le cadran solaire franchit le mur de verre et passe de l'exterieur vers l'interieur. L'heure se lit donc normalement de l'interieur et se trouve etre ainsi l'heure solaire vraie de la bibliotheque.¶¯"
Cote-des-Neiges-Notre-Dame-de-Gra½ce,Bibliotheque,Bibliotheque interculturelle,"6767, chemin de la Cote-des-Neiges",H3S 2T6,Montreal,QC,1,1,1,5,1,1,1,0,s,1,1,b,1,0,1,y,pleasant staff but facilities need an upgrade to meet modern UAP standards,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=7",-73.6369,45.50324,"a l'automne 2005, une nouvelle bibliotheque ouvrait ses portes et rejoignait le Reseau des bibliotheques de Montreal. Baptisee La Bibliotheque interculturelle, elle favorise la creation de ponts entre les differentes cultures en offrant notamment des cours de langues, de la musique du monde et des oeuvres en langues etrangeres comme l'arabe, le vietnamien, l'hindi, l'ourdou et le tamoul. C'est la premiere bibliotheque de Montreal a posseder une collection de livres en tagalog (philippin).¶ La conversion de l'immeuble a bureaux en bibliotheque et centre communautaire a represente un defi architectural. Le decloisonnement, la renovation et l'ajout d'ascenseurs, l'installation d'un nouveau systeme de climatisation, la rampe d'acces pour fauteuils roulants et la fenestration d'une partie importante de la faaõade de l'immeuble font partie des nombreuses modifications qui ont ete apportees afin de rendre ¶® le 6767 ¶¯ facilement reconnaissable et agreable a frequenter."
Anjou,Bibliotheque,Bibliotheque Jean-Corbeil,"7500, avenue Goncourt",H1K 3X9,Montreal,QC,1,1,1,5,1,1,1,0,m,1,1,f,1,0,1,y,excellent for families and seniors. clean facilities,514 493-8260,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=22",-73.5584,45.60296,"La bibliotheque d'Anjou a ete fondee par un citoyen benevole en 1964. C'est en 1984 que la ville d'Anjou inaugure le ba½timent actuel dont l'image, la superficie et la luminosite respirent le modernisme. En 2003, l'edifice est nomme bibliotheque Jean-Corbeil afin de rendre hommage au maire Jean Corbeil (1934-2002), qui a preside a la destinee de la ville de 1973 a 1988 et dont la tenacite a permis la construction de la bibliotheque actuelle. Celle-ci conserve et expose de nombreuses oeuvres d'art acquises par le Fonds du patrimoine culturel angevin."
Rosemont-La Petite-Patrie,Bibliotheque,Bibliotheque de La Petite-Patrie,"6707, avenue De Lorimier",H2G 2P8,Montreal,QC,1,1,1,3,0,1,1,0,l,1,1,f,1,0,1,y,"overall very inclusive and accommodating, future improvements planned",n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=25",-73.5983,45.54738,"Cet edifice aux multiples fonctions a ete construit en 1931 pour accueillir une salle de spectacle, un poste de police et une caserne de pompiers. En 1950, la salle de spectacle devient l'hote de la bibliotheque de La Petite-Patrie. Aujourd'hui, la bibliotheque partage cet edifice avec la maison de la culture de Rosemont-La Petite-Patrie et la caserne 47.¶ Sise a l'emplacement de l'ancienne scene de spectacle, une oeuvre de Michele Lapointe, 'Le thea½tre de papier', evoque le thea½tre oublie et l'evolution de la pensee humaine. L'oeuvre a ete devoilee a l'occasion de l'ouverture de la maison de la culture et de la renovation de la bibliotheque, en 1987."
Mercier-Hochelaga-Maisonneuve,Bibliotheque,Bibliotheque Langelier,"6473, rue Sherbrooke Est",H1N 1C5,Montreal,QC,1,1,1,9,1,1,1,0,m,1,1,b,1,1,1,y,very well designed for strollers but lack of clear signage,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=24",-73.5441,45.58171,"La bibliotheque Langelier abrite une oeuvre tout a fait representative de l'engagement des bibliotheques dans leur milieu et de leur importance dans la dynamique communautaire et sociale : sur un des murs de la bibliotheque se dresse une magnifique murale illustrant des contes traditionnels. Un groupe de benevoles de la bibliotheque etait alle rencontrer de jeunes deficients intellectuels pour leur raconter les histoires du Chaperon rouge, du Petit Poucet, des Trois petits cochons ou d'Hansel et Gretel. Les jeunes artistes de l'atelier le Fil d'Ariane se sont ensuite inspires de ces rencontres avec des personnages imaginaires pour creer une oeuvre tissee, empreinte de chaleur, de talent et d'accomplissement.Durant la saison estivale, la bibliotheque ouvre sa terrasse permettant a sa clientele de profiter de de la lecture et du soleil!"
Villeray-Saint-Michel-Parc-Extension,Bibliotheque,Bibliotheque Le Prevost,"7355, avenue Christophe-Colomb",H2R 2S5,Montreal,QC,1,1,1,6,0,0,1,0,s,1,1,f,1,1,1,y,very well designed for strollers but lack of clear signage,n/a,"hjtp://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=26",-73.6146,45.54389,"Installee dans les locaux du centre communautaire Patro Le Prevost depuis 1983, la bibliotheque du quartier Villeray, situee auparavant pres du marche Jean-Talon, etait connue sous le nom de bibliotheque Shamrock. Cette appellation remonte a la creation de l'institution, en 1947, dans l'edifice qui abritait egalement la caserne de pompiers de la rue Shamrock. On la considere comme la premiere bibliotheque de quartier de la Ville de Montreal.¶ Dans la section jeunesse, on peut admirer une oeuvre de Lyse Charland-Favretti (1982), soit une verriere composee de six sections qui agissent comme autant de puits de lumiere. Pour realiser ces ¶® cadres-sculptures ¶¯, l'artiste a utilise comme toile de fond des fils de nylon sur lesquels reposent chacune des compositions constituees d'eclats de verre."
Mercier-Hochelaga-Maisonneuve,Bibliotheque,Bibliotheque Maisonneuve,"4120, rue Ontario Est",H1V 1J9,Montreal,QC,1,1,1,1,0,1,1,0,s,1,1,b,1,0,1,y,pleasant staff but facilities need an upgrade to meet modern UAP standards,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=29",-73.5407,45.55106,"Lorsque l'on penetre dans la bibliotheque Maisonneuve, on est frappe de voir des armoiries en ceramique sur le plancher. C'est que l'edifice a servi d'hotel de ville de l'ancienne municipalite de Maisonneuve de 1912 a 1918, annee de son annexion a Montreal. En 1925, l'Institut du radium de l'Universite de Montreal s'y installe. On y utilise le radium dans le traitement de certains cancers et pour la formation des radiologistes. Mary Travers, mieux connue sous le nom de La Bolduc, y meurt en 1941 a l'a½ge de 46 ans. L'institut ferme ses portes en 1967. En 1981, les locaux de la bibliotheque Maisonneuve y sont inaugures."
Rosemont-La Petite-Patrie,Bibliotheque,Bibliotheque Marc-Favreau,"500, boulevard Rosemont",H2S,Montreal,QC,1,1,1,0,0,1,1,0,l,1,1,b,1,0,1,y,"overall very inclusive and accommodating, future improvements planned",514 872-7272,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=18",-73.5978,45.53174,"Situee a deux pas du metro Rosemont, la bibliotheque Marc-Favreau, avec plus de 3000 m¶ý, est l'une des plus importantes du reseau. Nommee a la memoire du comedien et createur de Sol, cette bibliotheque moderne et avant-gardiste a ete conaõue selon quatre grands axes¶ : vocation familiale, nouvelles technologies, design et developpement durable. On y retrouve une salle de lecture pour les adultes, une piece coloree, dotee d'un plancher chauffant pour les 0 a 4 ans et un coin a la fine pointe de la technologie pour les adolescents."
Le Sud-Ouest,Bibliotheque,Bibliotheque Marie-Uguay,"6052, boulevard Monk",H4E 3H6,Montreal,QC,1,1,1,0,1,1,1,0,s,1,1,b,1,1,1,y,excellent for families and seniors. clean facilities,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=30",-73.5956,45.45772,"Sise a l'emplacement de l'ancien hotel de ville de Ville-Emard, la bibliotheque a ete baptisee en hommage a la jeune poetesse Marie Uguay, decedee du cancer en 1981, a l'a½ge de 26 ans. Cette auteure a fait l'objet de critiques elogieuses pour ses deux recueils de poemes, Signe et Rumeur (1976) et L'outre vie (1979). En 1980, elle se fait connaa©tre du public en participant a la Nuit de la poesie.¶ Malgre la maladie, elle a poursuivi son oeuvre. a l'inauguration de la maison de la culture, en 1982, la maison d'edition Noroa©t lance le troisieme recueil de la poetesse, Autoportraits. Depuis, afin de perpetuer cette oeuvre de Marie Uguay, residante du quartier, la bibliotheque eponyme se fait un devoir et un plaisir de promouvoir la poesie et ses createurs."
Mercier-Hochelaga-Maisonneuve,Bibliotheque,Bibliotheque de Mercier,"8105, rue Hochelaga",H1L 2K9,Montreal,QC,1,1,1,0,0,0,1,0,m,1,1,f,1,1,1,y,pleasant staff but facilities need an upgrade to meet modern UAP standards,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=31",-73.5233,45.59574,"Dynamique! On ne peut mieux qualifier cette bibliotheque inauguree en octobre 1989. De nombreux abonnes se sont regroupes et ont forme trois cercles litteraires pour adultes. De plus, l'Atelier d'histoire de la Longue-Pointe y poursuit ses activites permettant de mettre en valeur l'histoire et le patrimoine de cet important quartier montrealais."
Le Plateau-Mont-Royal,Bibliotheque,Bibliotheque Mordecai-Richler,"5434, avenue du Parc",H2V 4G7,Montreal,QC,1,1,1,2,0,0,1,0,l,1,1,f,1,0,1,y,very well designed for strollers but lack of clear signage,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=32",-73.6016,45.52191,"La bibliotheque Mordecai-Richler (anciennement bibliotheque du Mile End) occupe une place de choix au cour de la vie communautaire de son quartier. Elle est situee sur l'avenue du Parc dans l'ancienne eglise Church of the Ascension construite en 1910 et ayant conserve ses principaux elements architecturaux.Elle offre une foule d'activites, d'ateliers et de conferences qui abordent des sujets pour petits et grands. En plus des documents en franaõais et en anglais, la bibliotheque compte une vaste collection d'ouvrages en chinois et en espagnol. Elle se specialise egalement dans les bandes dessinees et les guides de voyages, en plus d'offrir de nombreux disques compacts et de DVD. La section jeunesse se distingue aussi par sa Zone Ados qui offre un lieu de lecture et d'echange pour les 12 a 17 ans.Mordecai RichlerNe en 1931 dans une famille d'immigrants juifs de Montreal, Mordecai Richler etait romancier, journaliste et polemiste. Par son ouvre evocatrice et provocante, Richler temoigne de son epoque et de son lieu d'origine. C'est a partir de 1959, avec la publication du roman The Apprenticeship of Duddy Kravitz (L'apprentissage de Duddy Kravitz), qu'il est reconnu comme ¶® l'un des plus grands romanciers du Canada et du monde entier ¶¯. Il remporte de nombreuses distinctions, dont deux prix du Gouverneur general (1968, 1971) et le Screenwriters Guild of America Award (1974). Cinq de ses romans ont ete adaptes au cinema, dont Barney's Versionen 2010. Il est decede en 2001."
Cote-des-Neiges-Notre-Dame-de-Gra½ce,Bibliotheque,Bibliotheque de Notre-Dame-de-Gra½ce,"3755, rue Botrel",H4A 3G8,Montreal,QC,1,1,1,6,1,1,1,0,m,1,1,f,1,1,1,y,very good quality and excellent facilities.,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=35",-73.6146,45.47551,"Ouverte en 1984 dans un edifice ba½ti en 1910 et qui a longtemps servi de poste de police, la bibliotheque de Notre-Dame-de-Gra½ce prenait la releve de la petite bibliotheque qui existait depuis les annees 1950 dans le manoir Notre-Dame-de-Gra½ce. Depuis des decennies, elle est une importante source de vie intellectuelle dans le quartier.¶ Le ba½timent est reconnu pour sa valeur patrimoniale exceptionnelle. Il a ete renove en profondeur et a son seuil se trouve une oeuvre d'art: de monumentales portes en aluminium coule a incrustation de verre clair et colore. Elles sont l'oeuvre de la sculpteure montrealaise Sylvie Rochette."
LaSalle,Bibliotheque,Bibliotheque L'Octogone,"1080, avenue Dollard",H8N 2T9,Montreal,QC,1,1,1,3,0,1,1,0,l,1,1,f,1,0,1,y,very well designed for strollers but lack of clear signage,514 367-6376,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=28",-73.6234,45.42434,"La bibliotheque de LaSalle, construite en 1984, tire son nom de sa forme architecturale : elle est composee de deux octogones dont l'un, le plus grand, abrite la collection des adultes et l'autre, la section reservee aux enfants. De longues fenetres sur les cotes de l'octogone apportent un eclairage naturel et permettent une vue sur le parc Felix-Leclerc.La sculpture exterieure, intitulee 'Signal dans l'espace', a ete realisee par Claude Lamarche, artiste pluridisciplinaire. Elle guide le citoyen vers le lieu culturel lasallois. Pour l'artiste, l'oeuvre represente un signal de la necessite d'encourager l'acte createur et la liberte d'expression."
Villeray-Saint-Michel-Parc-Extension,Bibliotheque,Bibliotheque de Parc-Extension,"421, rue Saint-Roch",H3N 1K2,Montreal,QC,1,1,1,0,1,1,1,0,s,1,1,f,1,1,1,y,pleasant staff but facilities need an upgrade to meet modern UAP standards,514 872-6071,"https://www.facebook.com/bibliodeparcextension,http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=36",-73.6285,45.53117,"Inauguree en 2002, la bibliotheque de Parc-Extension est la deuxieme bibliotheque multilingue du Reseau des bibliotheques de Montreal a voir le jour. Elle s'integre au complexe William-Hingston, lequel offre une gamme de services communautaires, culturels, educatifs, sportifs et de loisirs au sein d'un meme ensemble immobilier. Dans le vaste local vitre de l'entree, les visiteurs peuvent admirer une creation de Lisette Lemieux intitulee 'Table des matieres de supports du savoir', realisee en 1995. Veritable abecedaire mariant textures et materiaux, lettres et mots, l'oeuvre temoigne a la fois de la richesse du langage et des connaissances. Six autres oeuvres originales rendent compte d'une demarche de questionnement sur l'appartenance et l'origine dans ce quartier aux multiples provenances."
